stateDt,susceptible,infected,recovered,died
20200301,49996264,3688,30,18
20200302,49995788,4159,31,22
20200303,49995188,4750,34,28
20200304,49994672,5255,41,32
20200305,49994234,5643,88,35
20200306,49993716,6134,108,42
20200307,49993233,6605,118,44
20200308,49992866,6954,130,50
20200309,49992618,7165,166,51
20200310,49992487,7212,247,54
20200311,49992245,7407,288,60
20200312,49992131,7470,333,66
20200313,49992021,7402,510,67
20200314,49991914,7300,714,72
20200315,49991838,7253,834,75
20200316,49991764,7024,1137,75
20200317,49991680,6838,1401,81
20200318,49991587,6789,1540,84
20200319,49991435,6527,1947,91
20200320,49991348,6325,2233,94
20200321,49991201,6085,2612,102
20200322,49991103,5884,2909,104
20200323,49991039,5684,3166,111
20200324,49990963,5410,3507,120
20200325,49990863,5281,3730,126
20200326,49990759,4966,4144,131
20200327,49990668,4665,4528,139
20200328,49990522,4523,4811,144
20200329,49990417,4398,5033,152
20200330,49990339,4275,5228,158
20200331,49990214,4216,5408,162
20200401,49990113,4155,5567,165
20200402,49990024,3979,5828,169
20200403,49989938,3867,6021,174
20200404,49989844,3654,6325,177
20200405,49989763,3591,6463,183
20200406,49989716,3500,6598,186
20200407,49989669,3445,6694,192
20200408,49989616,3408,6776,200
20200409,49989577,3246,6973,204
20200410,49989550,3125,7117,208
20200411,49989520,3026,7243,211
20200412,49989488,2930,7368,214
20200413,49989463,2873,7447,217
20200414,49989436,2808,7534,222
20200415,49989409,2750,7616,225
20200416,49989387,2627,7757,229
20200417,49989365,2576,7829,230
20200418,49989347,2484,7937,232
20200419,49989339,2385,8042,234
20200420,49989326,2324,8114,236
20200421,49989317,2233,8213,237
20200422,49989306,2179,8277,238
20200423,49989298,2051,8411,240
20200424,49989292,1967,8501,240
20200425,49989282,1843,8635,240
20200426,49989272,1769,8717,242
20200427,49989262,1731,8764,243
20200428,49989248,1654,8854,244
20200429,49989239,1593,8922,246
20200430,49989235,1459,9059,247
20200501,49989226,1454,9072,248
20200502,49989220,1407,9123,250
20200503,49989207,1360,9183,250
20200504,49989199,1332,9217,252
20200505,49989196,1267,9283,254
20200506,49989194,1218,9333,255
20200507,49989190,1135,9419,256
20200508,49989178,1082,9484,256
20200509,49989160,1016,9568,256
20200510,49989126,1008,9610,256
20200511,49989091,1021,9632,256
20200512,49989064,1008,9670,258
20200513,49989038,1008,9695,259
20200514,49989009,969,9762,260
20200515,49988982,937,9821,260
20200516,49988963,924,9851,262
20200517,49988950,900,9888,262
20200518,49988935,898,9904,263
20200519,49988922,877,9938,263
20200520,49988890,781,10066,263
20200521,49988878,723,10135,264
20200522,49988858,716,10162,264
20200523,49988835,705,10194,266
20200524,49988810,711,10213,266
20200525,49988794,713,10226,267
20200526,49988775,681,10275,269
20200527,49988735,701,10295,269
20200528,49988656,735,10340,269
20200529,49988598,770,10363,269
20200530,49988559,774,10398,269
20200531,49988532,793,10405,270
20200601,49988497,810,10422,271
20200602,49988459,823,10446,272
20200603,49988410,850,10467,273
20200604,49988371,857,10499,273
